campeonato,data,mandante,gol mandante,gol visitante,visitante,local
Paulista 1932 ,"27 de novembro de 1932, 16:00",Corinthians,7,2,Internacional da Capital,"Fazendinha, São Paulo, SP."
Paulista 1932 ,"03 de julho de 1932, 16:00",Corinthians,3,1,São Bento da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1932 ,"26 de junho de 1932, 16:00",Portuguesa,0,2,Corinthians,"Rua Cesário Ramalho, São Paulo, SP."
Paulista 1932 ,"12 de junho de 1932, 16:00",Corinthians,1,3,Ypiranga,"Fazendinha, São Paulo, SP."
Paulista 1932 ,"29 de maio de 1932, 16:00",Corinthians,1,3,Sírio,"Fazendinha, São Paulo, SP."
Paulista 1932 ,"22 de maio de 1932, 16:00",Corinthians,5,1,Atlético Santista,"Fazendinha, São Paulo, SP."
Paulista 1932 ,"08 de maio de 1932, 16:00",Santos,7,1,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 1932 ,"01 de maio de 1932, 16:00",Juventus,5,4,Corinthians,"Estádio da Floresta, São Paulo, SP."
Amistosos 1932 ,"17 de abril de 1932, 16:00",Corinthians Saltense,2,1,Corinthians,"Estádio do Corinthians Saltense, Salto, SP."
Paulista 1931 ,"10 de janeiro de 1932, 16:00",Corinthians,1,4,São Paulo,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"03 de janeiro de 1932, 16:00",Atlético Santista,1,1,Corinthians,"Avenida Conselheiro Nébias, Santos, SP."
Paulista 1931 ,"27 de dezembro de 1931, 16:00",Corinthians,6,2,Juventus,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"13 de dezembro de 1931, 16:00",Corinthians,6,1,América da Capital,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"06 de dezembro de 1931, 16:00",Corinthians,2,2,Internacional da Capital,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"29 de novembro de 1931, 16:00",Santos,1,1,Corinthians,"Vila Belmiro, Santos, SP."
Paulista 1931 ,"22 de novembro de 1931, 16:00",Ypiranga,3,3,Corinthians,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"15 de novembro de 1931, 16:00",Corinthians,2,3,Palmeiras,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"01 de novembro de 1931, 16:00",Corinthians,3,1,São Bento da Capital,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"25 de outubro de 1931, 16:00",Corinthians,4,1,Pinheiros,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"18 de outubro de 1931, 16:00",Guarani,2,2,Corinthians,"Pastinho, Campinas, SP."
Paulista 1931 ,"11 de outubro de 1931, 16:00",Pinheiros,2,5,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1931 ,"04 de outubro de 1931, 16:00",Corinthians,4,2,Atlético Santista,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"27 de setembro de 1931, 16:00",América da Capital,1,1,Corinthians,"Rua Tabor, São Paulo, SP."
Paulista 1931 ,"20 de setembro de 1931, 16:00",Corinthians,3,4,Ypiranga,"Fazendinha, São Paulo, SP."
Amistosos 1931 ,"13 de setembro de 1931, 16:00",Corinthians,1,1,Palmeiras,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"28 de junho de 1931, 16:00",São Paulo,2,2,Corinthians,"Estádio da Floresta, São Paulo, SP."
Paulista 1931 ,"21 de junho de 1931, 16:00",Corinthians,3,2,Portuguesa,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"07 de junho de 1931, 16:00",Sírio,1,1,Corinthians,"Palestra Itália, São Paulo, SP."
Paulista 1931 ,"31 de maio de 1931, 16:00",Internacional da Capital,1,4,Corinthians,"Rua Cesário Ramalho, São Paulo, SP."
Paulista 1931 ,"17 de maio de 1931, 16:00",Corinthians,2,3,Santos,"Fazendinha, São Paulo, SP."
Paulista 1931 ,"10 de maio de 1931, 16:00",Juventus,1,4,Corinthians,"Rua Javari, São Paulo, SP."
Taça dos Campeões 1931 ,"06 de maio de 1931, 21:30",Botafogo,7,1,Corinthians,"General Severiano, Rio de Janeiro, RJ."
Paulista 1931 ,"01 de maio de 1931, 16:00",Corinthians,3,0,São Bento da Capital,"Ponte Grande, São Paulo, SP."
Paulista 1931 ,"05 de abril de 1931, 16:00",Corinthians,2,2,Guarani,"Rua da Mooca, São Paulo, SP."
Taça dos Campeões 1931 ,"02 de abril de 1931, 16:00",Corinthians,2,0,Botafogo,"Estádio da Floresta, São Paulo, SP."
Paulista 1931 ,"29 de março de 1931, 16:00",Palmeiras,3,1,Corinthians,"Palestra Itália, São Paulo, SP."
Amistosos 1931 ,"08 de março de 1931, 16:00",Corinthians,6,2,Santos,"Palestra Itália, São Paulo, SP."
Amistosos 1931 ,"18 de janeiro de 1931, 16:00",Internacional da Capital,1,2,Corinthians,"Rua da Mooca, São Paulo, SP."
Paulista 1930 ,"04 de janeiro de 1931, 16:00",Santos,2,5,Corinthians,"Vila Belmiro, Santos, SP."
